category,question,answer,source
有給休暇,有給休暇の残日数はどこで確認できますか？,"社内ポータル → 勤怠管理システム → 有給残日数にて確認可能です。",勤怠管理マニュアル_3章
有給休暇,当日の朝に有給申請してもいいですか？,"原則として前日までに申請が必要です。当日体調不良の場合は、上長に口頭連絡のうえ事後申請が可能です。",就業規則_第12条
経費精算,領収書をなくしてしまった場合の対処法は？,"『支出事由書』の提出で代替可能です。必要事項を記載し、上長の承認を得た上で経理に提出してください。",経理ハンドブック_4章
備品管理,自分のPCが故障した場合の連絡先は？,"社内ポータルの「ITサポート窓口」から申請してください。緊急時は内線1234へ直接連絡を。",ITサポートガイドライン_1章
出張・交通費,定期券区間をまたぐ移動の精算方法は？,"定期区間を除いた差額分が支給対象です。経路検索結果を添付してください。",交通費精算マニュアル_2章
社内ルール,私物の電気ポットやヒーターは持ち込んでも大丈夫？,"原則持ち込み不可ですが、健康上の理由がある場合は総務に相談のうえ例外申請可能です。",備品管理規定_付録
入館・退館,来客の入館手続きはどうすればいい？,"来訪予定者の情報を前日までに「入館申請フォーム」へ登録してください。当日は1階受付で入館証を発行します。",セキュリティマニュアル_6章
災害対応,地震発生時はどう行動すべきですか？,"まずは机の下に避難し安全確保。その後、避難指示メールに従って指定避難場所へ移動してください。",防災マニュアル_第3章
休憩・勤務時間,昼休憩の時間をずらしても大丈夫ですか？,"業務都合により前後30分まではシフト可能です。事前に上長へ相談してください。",就業ガイド_2章
社内ポータル,社員名簿の最新版はどこで見られますか？,"社内ポータル → 『社内共有ドキュメント』 → 人事・組織図フォルダに格納されています。",社内ポータル利用マニュアル_1章
有給休暇,有給休暇の申請方法を教えて,「社内ポータル」→「勤怠管理」→「有給休暇申請」から申請してください。承認後、勤怠表に反映されます。,勤怠管理マニュアル_3章
